asset,owner,decision,target,risk,status,rationale
data/case_studies/alp_bedliner/attachments/190ab6fd_WhatsApp_Image_2024-07-13_at_2.46.47_PM__1_.jpeg,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/190ab6fd_WhatsApp_Image_2024-07-13_at_2.46.48_PM.jpeg,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/190bef0c_MOM_Machinecraft_visit_at_ALP_16.07.2024.xlsx,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/190bf978_MOM_Machinecraft_visit_at_ALP_16.07.2024.xlsx,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/190c9a92__WRD0001.jpg,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/190ca88c__WRD0001.jpg,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/1921384a_ALP_Electrical_drawing.dwg,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/1921384a_MOM_Machinecraft_visit_at_ALP_1.09.2024.xlsx,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/1921e669_ALP_Spare_List__1_.xlsx,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/1925c3f6_PF12515_ALP_Machinecraft_Offer_PRO_Version_V01.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/1925c706_PF1_1525_India_Offer_Machinecraft_ALP.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/1930c001_lanulfi-company-profile-04-2024__1_.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/19980250_Copy_of_IMG-1350_Machinecraft_Catalogue.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/19980250_Copy_of_PF1-A_Machinecraft_Catalogue.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/19980250_Copy_of_PF1-R_Machinecraft_Catalogue_.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/19980250_Copy_of_PF1-X_Catalogue__Final_for_Print_.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/199a44b0_Copy_of_Print_PF1-X_Machinecraft_Catalogue.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/19c0831e_Copy_of_PF1-X_Catalogue__Final_for_Print_.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/19c0831e_Operating_Manual_-_PF1_1150_x_1300_-_K2019_-_BK_-_Machinecraft_ref._Version_1.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/attachments/19c96121_Machinecraft_Quote_for_PF1_3520_SA_-_ANP_-_HDPE_Bedliner_-_June_2022_-_New_Concept_-_V01__1_.pdf,data_governance,move_external,object_storage + metadata index,high,pending,Binary or generated artifacts should not be stored in runtime git tree.
data/case_studies/alp_bedliner/case_study_data.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/alp_bedliner/email_data.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/alp_bedliner/email_extract.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/anatomic-sitt-tpo-lamination/case_study.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/anatomic-sitt-tpo-lamination/case_study_full.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/anatomic-sitt-tpo-lamination-sweden/case_study_data.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/dezet-plastics-netherlands/case_study.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/dezet-plastics-netherlands/case_study_data.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/dezet-plastics-netherlands/case_study_full.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/donite-plastics-uno-uk/case_study.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/donite-plastics-uno-uk/case_study_data.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/donite-plastics-uno-uk/case_study_full.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/dutch-tides-hydroponic-trays/case_study.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/dutch-tides-hydroponic-trays/case_study_data.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/dutch-tides-hydroponic-trays/case_study_full.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/iac-img-automotive-interiors/case_study.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/iac-img-automotive-interiors/case_study_data.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/iac-img-automotive-interiors/case_study_full.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/index.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/massive-pf1-5028-xl/case_study.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/massive-pf1-5028-xl/case_study_full.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/mirsant-bathtub-manufacturing-russia/case_study.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/mirsant-bathtub-manufacturing-russia/case_study_full.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/mirsant-bathtub-russia/case_study_data.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/naffco-fire-safety-uae/case_study.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/naffco-fire-safety-uae/case_study_data.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/naffco-fire-safety-uae/case_study_full.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/pinnacle-industries-xl-india/case_study_data.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/plastoranger-complete-line-india/case_study.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/plastoranger-complete-line-india/case_study_data.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/plastoranger-complete-line-india/case_study_full.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/psg-signs-polycarbonate-canada/case_study.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/psg-signs-polycarbonate-canada/case_study_data.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/psg-signs-polycarbonate-canada/case_study_full.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/thermic-energy-frimo-germany-first-machine/case_study.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/thermic-energy-frimo-germany-first-machine/case_study_full.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/case_studies/thermic-frimo-germany-first-machine/case_study_data.md,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/conversation/conversations.db,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/conversation/conversations.db-shm,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/conversation/conversations.db-wal,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/conversation/cross_channel_context.py,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/conversation/query_analyzer.py,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/conversation/relationship_dashboard.py,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/hera/stock_levels.json,data_governance,review,data lifecycle policy,medium,pending,Data asset requires classification before runtime use.
data/knowledge/.gitkeep,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/application_20260228_092528.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/application_20260228_123157.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/application_20260228_161852.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/application_20260228_182325.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/audit.jsonl,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/case_study_20260228_133704.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/case_study_20260228_163635.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/client_20260228_170108.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/clusters.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/commercial_20260228_131454.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/commercial_20260228_135958.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/commercial_20260228_153242.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/commercial_20260228_153437.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/commercial_20260228_163126.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/commercial_20260228_163248.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/commercial_20260228_164131.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/commercial_20260228_164257.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/commercial_20260228_164425.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/commercial_20260228_164549.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/commercial_20260228_164725.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/commercial_20260228_165702.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/company formation_20260302_093833.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/company_20260302_092936.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/company_20260302_093145.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/company_20260302_093202.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/company_info_20260302_091347.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/company_info_20260302_091426.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/company_info_20260302_091505.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/company_info_20260302_091619.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/consolidation_log.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/contract_20260302_092956.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/contract_20260302_093011.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/contract_20260302_140427.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/contract_20260302_140502.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer inquiry_20260302_092735.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260228_210504.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_092609.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_092623.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_092643.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_092701.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_092717.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_092753.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_092815.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_092830.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_092842.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_092903.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_092918.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093221.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093242.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093329.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093352.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093455.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093509.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093528.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093643.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093711.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093741.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093758.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093814.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093851.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093912.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_093958.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_094041.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
data/knowledge/customer_20260302_094135.json,data_governance,move_external,managed knowledge store with retention,high,pending,Timestamped snapshots are derived data with stale-data risk.
